631662 (1st: 2.86, 2nd: 2.74, 3rd: 2.48, 4th: 3.21) [Referred: None]
631892 (1st: 3.29, 2nd: 2.80, 3rd: 2.77, 4th: 3.06) [Referred: None]
632082 (1st: 3.04, 2nd: 2.61, 3rd: 3.00, 4th: 3.20) [Referred: None]
632099 (1st: 2.94, 2nd: 2.67, 3rd: 3.09, 4th: 3.21) [Referred: None]
632168 (1st: 2.83, 2nd: 2.45, 3rd: 2.99, 4th: 3.10) [Referred: None]
632473 (1st: 3.48, 2nd: 2.86, 3rd: 3.07, 4th: 3.10) [Referred: None]
632544 (1st: 3.53, 2nd: 2.80, 3rd: 3.11, 4th: 2.94) [Referred: None]
632568 (1st: 3.10, 2nd: 2.74, 3rd: 2.86, 4th: 2.88) [Referred: None]
632661 (1st: 3.48, 2nd: 2.54, 3rd: 2.55, 4th: 3.11) [Referred: None]
731073 (1st: 3.20, 2nd: 3.25, 3rd: 2.76, 4th: 3.02) [Referred: None]
731465 (1st: 3.36, 2nd: 3.47, 3rd: 2.75, 4th: 3.50) [Referred: None]
731466 (1st: 3.21, 2nd: 3.26, 3rd: 3.08, 4th: 3.19) [Referred: None]
731468 (1st: 3.07, 2nd: 3.02, 3rd: 3.05, 4th: 3.15) [Referred: None]
731469 (1st: 3.21, 2nd: 3.33, 3rd: 2.95, 4th: 3.20) [Referred: None]
731484 (1st: 2.79, 2nd: 2.83, 3rd: 3.02, 4th: 3.36) [Referred: None]
731486 (1st: 3.12, 2nd: 3.17, 3rd: 3.05, 4th: 3.57) [Referred: None]
731491 (1st: 3.00, 2nd: 2.99, 3rd: 3.15, 4th: 3.40) [Referred: None]
731493 (1st: 3.26, 2nd: 3.19, 3rd: 3.38, 4th: 3.50) [Referred: None]
731496 (1st: 2.71, 2nd: 2.86, 3rd: 2.40, 4th: 2.94) [Referred: None]
731500 (1st: 3.55, 2nd: 3.47, 3rd: 3.37, 4th: 3.71) [Referred: None]
731503 (1st: 3.33, 2nd: 3.42, 3rd: 3.32, 4th: 3.60) [Referred: None]
731504 (1st: 3.29, 2nd: 3.08, 3rd: 2.85, 4th: 3.35) [Referred: None]
731505 (1st: 3.00, 2nd: 2.86, 3rd: 2.74, 4th: 3.06) [Referred: None]
731507 (1st: 3.02, 2nd: 3.07, 3rd: 2.76, 4th: 3.42) [Referred: None]
731509 (1st: 3.07, 2nd: 3.20, 3rd: 2.74, 4th: 2.93) [Referred: None]
731513 (1st: 3.12, 2nd: 2.97, 3rd: 2.77, 4th: 3.02) [Referred: None]
731514 (1st: 3.21, 2nd: 3.40, 3rd: 3.04, 4th: 2.98) [Referred: None]
731516 (1st: 2.90, 2nd: 2.92, 3rd: 3.05, 4th: 2.95) [Referred: None]
731517 (1st: 2.79, 2nd: 2.94, 3rd: 2.83, 4th: 2.85) [Referred: None]
731518 (1st: 3.31, 2nd: 3.32, 3rd: 3.25, 4th: 3.48) [Referred: None]
731522 (1st: 2.88, 2nd: 2.92, 3rd: 2.65, 4th: 3.04) [Referred: None]
731523 (1st: 3.24, 2nd: 3.23, 3rd: 2.98, 4th: 2.73) [Referred: None]
731528 (1st: 3.26, 2nd: 3.02, 3rd: 2.81, 4th: 2.99) [Referred: None]
731538 (1st: 3.40, 2nd: 3.30, 3rd: 3.43, 4th: 3.73) [Referred: None]
731539 (1st: 3.43, 2nd: 3.51, 3rd: 3.67, 4th: 4.00) [Referred: None]
731545 (1st: 3.05, 2nd: 2.89, 3rd: 2.75, 4th: 2.98) [Referred: None]
731550 (1st: 3.38, 2nd: 3.35, 3rd: 3.52, 4th: 3.60) [Referred: None]
731551 (1st: 3.26, 2nd: 3.03, 3rd: 3.39, 4th: 3.48) [Referred: None]
731560 (1st: 3.60, 2nd: 3.49, 3rd: 3.35, 4th: 3.92) [Referred: None]
731561 (1st: 3.36, 2nd: 3.30, 3rd: 2.98, 4th: 3.04) [Referred: None]
731562 (1st: 3.26, 2nd: 2.94, 3rd: 3.26, 4th: 3.14) [Referred: None]
731563 (1st: 3.12, 2nd: 3.01, 3rd: 2.77, 4th: 3.19) [Referred: None]
731568 (1st: 3.12, 2nd: 3.33, 3rd: 3.21, 4th: 3.43) [Referred: None]
731570 (1st: 3.43, 2nd: 2.92, 3rd: 3.01, 4th: 3.26) [Referred: None]
731572 (1st: 3.31, 2nd: 3.48, 3rd: 3.68, 4th: 3.79) [Referred: None]
731577 (1st: 3.79, 2nd: 3.66, 3rd: 3.95, 4th: 3.95) [Referred: None]
731578 (1st: 3.07, 2nd: 3.11, 3rd: 3.15, 4th: 3.71) [Referred: None]
731579 (1st: 3.00, 2nd: 3.10, 3rd: 2.99, 4th: 3.11) [Referred: None]
731581 (1st: 3.24, 2nd: 3.31, 3rd: 3.33, 4th: 3.62) [Referred: None]
731582 (1st: 3.14, 2nd: 3.27, 3rd: 3.11, 4th: 3.30) [Referred: None]
731584 (1st: 3.19, 2nd: 2.95, 3rd: 3.71, 4th: 3.79) [Referred: None]
